std_key,median_time,mean_time,n_races,distance,courseName,surface
EPSOM DOWNS_10.0_Turf,138.7721766206434,139.0231083631213,139,10.08,EPSOM DOWNS,Turf
EPSOM DOWNS_12.0_Turf,171.70401066506517,171.56507278079255,137,12.05,EPSOM DOWNS,Turf
EPSOM DOWNS_5.0_Turf,60.11432736913894,59.86161165177283,28,5.0,EPSOM DOWNS,Turf
EPSOM DOWNS_6.0_Turf,75.15973492668739,75.33721766156185,69,6.0,EPSOM DOWNS,Turf
EPSOM DOWNS_7.0_Turf,90.10315768433077,90.24536616504425,197,7.0,EPSOM DOWNS,Turf
EPSOM DOWNS_8.5_Turf,113.77353890381687,113.92531503425329,142,8.52,EPSOM DOWNS,Turf
FAIRYHOUSE_10.0_Turf,139.49292162698413,139.5408431521841,62,10.0,FAIRYHOUSE,Turf
FAIRYHOUSE_12.0_Turf,170.2812119047619,171.2728401153274,64,12.0,FAIRYHOUSE,Turf
FAIRYHOUSE_6.0_Turf,80.54556190476193,80.76945677972549,173,6.0,FAIRYHOUSE,Turf
FAIRYHOUSE_7.0_Turf,95.20415740740741,95.56252584444937,119,7.0,FAIRYHOUSE,Turf
FFOS LAS_10.0_Turf,139.1591183353799,140.81019203440215,65,10.0,FFOS LAS,Turf
FFOS LAS_12.0_Turf,167.82823804153728,168.87340019287586,71,12.0,FFOS LAS,Turf
FFOS LAS_14.0_Turf,198.51767474254896,199.53023593731407,30,14.0,FFOS LAS,Turf
FFOS LAS_16.0_Turf,231.32109590101095,231.29097068086443,27,16.0,FFOS LAS,Turf
FFOS LAS_5.0_Turf,63.01945505533457,63.219455927312865,60,5.0,FFOS LAS,Turf
FFOS LAS_6.0_Turf,76.1954523437297,76.80802396498528,94,6.0,FFOS LAS,Turf
FFOS LAS_7.5_Turf,100.09228185601714,100.91039701765077,122,7.36,FFOS LAS,Turf
FFOS LAS_8.0_Turf,108.89159459436749,109.62763278141544,74,8.0,FFOS LAS,Turf
GALWAY_12.0_Turf,173.73149696283122,173.62012724463844,108,11.82,GALWAY,Turf
GALWAY_14.0_Turf,205.00668742451975,204.35928190127754,24,13.85,GALWAY,Turf
GALWAY_7.0_Turf,97.04416330826906,97.14819225019635,163,7.0,GALWAY,Turf
GALWAY_8.5_Turf,117.38954415007612,117.35613526228096,134,8.33,GALWAY,Turf
GOODWOOD_10.0_Turf,137.78297399134343,137.8640415786112,173,9.87,GOODWOOD,Turf
GOODWOOD_11.0_Turf,158.13014295320352,158.3490316998045,52,11.0,GOODWOOD,Turf
GOODWOOD_12.0_Turf,170.50051409153485,170.6813488459234,124,12.0,GOODWOOD,Turf
GOODWOOD_14.0_Turf,198.0387005798197,198.48675924805815,84,14.0,GOODWOOD,Turf
GOODWOOD_16.0_Turf,225.8978618124417,226.67994221490235,67,16.0,GOODWOOD,Turf
GOODWOOD_5.0_Turf,62.91776097035848,62.960140153601394,139,5.0,GOODWOOD,Turf
GOODWOOD_6.0_Turf,77.50885908335276,77.4851952743719,249,6.0,GOODWOOD,Turf
GOODWOOD_7.0_Turf,93.98605635692289,94.03552079598462,228,7.0,GOODWOOD,Turf
GOODWOOD_8.0_Turf,107.17199707220574,107.31954110612394,185,8.0,GOODWOOD,Turf
GOODWOOD_9.0_Turf,125.72496066148045,125.87328789410326,69,9.0,GOODWOOD,Turf
GOWRAN PARK_12.0_Turf,169.44099440267334,171.7650516572378,35,12.0,GOWRAN PARK,Turf
GOWRAN PARK_14.0_Turf,197.29116664793236,199.50258342156255,40,14.0,GOWRAN PARK,Turf
GOWRAN PARK_7.0_Turf,93.82178070175439,94.38831388654137,261,7.0,GOWRAN PARK,Turf
GOWRAN PARK_8.0_Turf,108.3026870128054,108.91446282310592,248,8.0,GOWRAN PARK,Turf
GOWRAN PARK_8.5_Turf,118.680986654201,118.35421362607383,20,8.34,GOWRAN PARK,Turf
GOWRAN PARK_9.5_Turf,131.32504304276316,131.8615276009972,302,9.45,GOWRAN PARK,Turf
HAMILTON PARK_11.0_Turf,154.24095564165077,154.58086736328002,103,11.07,HAMILTON PARK,Turf
HAMILTON PARK_12.0_Turf,169.08430196780753,169.12158875404126,94,12.08,HAMILTON PARK,Turf
HAMILTON PARK_13.0_Turf,183.69386000404128,184.0871017423608,63,13.04,HAMILTON PARK,Turf
HAMILTON PARK_5.0_Turf,64.21592289183027,64.21682961663966,278,5.02,HAMILTON PARK,Turf
HAMILTON PARK_6.0_Turf,77.3283542505499,77.34946098268752,378,6.02,HAMILTON PARK,Turf
HAMILTON PARK_8.5_Turf,115.02990437781528,115.14361618433787,250,8.3,HAMILTON PARK,Turf
HAMILTON PARK_9.0_Turf,126.46426697934484,126.66383803487827,149,9.16,HAMILTON PARK,Turf
HAYDOCK PARK_10.0_Turf,142.30059444136234,142.39490836015023,122,10.19,HAYDOCK PARK,Turf
HAYDOCK PARK_10.5_Turf,143.43954300637523,143.58488015630493,84,10.43,HAYDOCK PARK,Turf
HAYDOCK PARK_11.5_Turf,164.20093658250366,164.0931288381594,89,11.64,HAYDOCK PARK,Turf
HAYDOCK PARK_12.0_Turf,164.11949729614992,164.55908714495737,108,11.91,HAYDOCK PARK,Turf
HAYDOCK PARK_14.0_Turf,199.3423201370102,199.43913530417876,104,14.0,HAYDOCK PARK,Turf
HAYDOCK PARK_16.0_Turf,232.32430616799326,233.13441279677238,27,16.2,HAYDOCK PARK,Turf
HAYDOCK PARK_5.0_Turf,64.99371080099729,64.86851776630343,186,5.0,HAYDOCK PARK,Turf
HAYDOCK PARK_6.0_Turf,79.24566246602473,79.21621617583479,321,6.0,HAYDOCK PARK,Turf
HAYDOCK PARK_7.0_Turf,95.75423100502513,95.7748603564759,315,7.0,HAYDOCK PARK,Turf
HAYDOCK PARK_8.0_Turf,110.16444598131213,110.29821120362155,359,8.0,HAYDOCK PARK,Turf
KEMPTON PARK_10.0_All Weather,136.0751494572291,136.03715418515398,71,10.0,KEMPTON PARK,All Weather
KEMPTON PARK_11.0_All Weather,150.89687865014292,151.08101156148936,419,11.0,KEMPTON PARK,All Weather
KEMPTON PARK_12.0_All Weather,165.14311519866547,165.29652214320092,577,12.0,KEMPTON PARK,All Weather
KEMPTON PARK_16.0_All Weather,224.9810774651019,225.19766421423247,289,16.0,KEMPTON PARK,All Weather
KEMPTON PARK_5.0_All Weather,64.60459154687237,64.74461181656558,108,5.0,KEMPTON PARK,All Weather
KEMPTON PARK_6.0_All Weather,78.10716111202876,78.09799116564903,952,6.0,KEMPTON PARK,All Weather
KEMPTON PARK_7.0_All Weather,92.40027234163264,92.43767239605528,1197,7.0,KEMPTON PARK,All Weather
KEMPTON PARK_8.0_All Weather,106.6515817144024,106.72258836427491,1308,8.0,KEMPTON PARK,All Weather
KILLARNEY_11.0_Turf,157.84953421386308,158.04984849453848,91,11.0,KILLARNEY,Turf
KILLARNEY_11.5_Turf,158.6832829482247,158.92128707502528,15,11.36,KILLARNEY,Turf
KILLARNEY_14.0_Turf,202.60480383123908,203.72468049205224,47,14.0,KILLARNEY,Turf
KILLARNEY_17.0_Turf,246.34503835653837,246.51296987524282,29,17.0,KILLARNEY,Turf
KILLARNEY_8.0_Turf,110.92566666666667,110.91642896401846,237,8.09,KILLARNEY,Turf
KILLARNEY_8.5_Turf,112.11580545454547,112.24295776826368,31,8.45,KILLARNEY,Turf
LAYTOWN_6.0_All Weather,76.80991071428572,76.63000094745419,21,6.0,LAYTOWN,All Weather
LAYTOWN_7.0_All Weather,90.27072916666667,90.39449499387374,39,7.0,LAYTOWN,All Weather
LEICESTER_10.0_Turf,138.06409250714785,138.34092340634874,194,9.99,LEICESTER,Turf
LEICESTER_12.0_Turf,165.3079598934251,166.0673329811301,176,11.83,LEICESTER,Turf
LEICESTER_5.0_Turf,64.82428834328476,64.94645306574803,141,5.0,LEICESTER,Turf
LEICESTER_6.0_Turf,77.77712191373519,77.86384093769682,283,6.0,LEICESTER,Turf
LEICESTER_7.0_Turf,91.59744147787983,91.73071741394013,417,7.0,LEICESTER,Turf
LEICESTER_8.0_Turf,113.15295499754963,113.52005235779902,148,8.24,LEICESTER,Turf
LEICESTER_8.5_Turf,112.97129669516208,113.40610692607399,40,8.27,LEICESTER,Turf
LEOPARDSTOWN_10.0_Turf,139.09350754285788,140.2043459358934,174,10.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_12.0_Turf,168.7678874329906,169.09143849634495,99,12.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_13.0_Turf,180.77704211405512,180.558595631472,57,13.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_14.0_Turf,195.25440003946036,195.8137809458788,34,14.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_15.0_Turf,214.30999875806666,214.70357717442093,50,15.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_6.0_Turf,81.35951600000001,81.39504867101365,34,6.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_7.0_Turf,96.56341567189918,97.07212603086738,329,7.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_8.0_Turf,110.13842867262628,110.60002004590186,322,8.0,LEOPARDSTOWN,Turf
LEOPARDSTOWN_9.0_Turf,124.09582883927547,124.8766827852318,104,9.0,LEOPARDSTOWN,Turf
LIMERICK_11.5_Turf,161.23000349917703,162.92750950242214,73,11.32,LIMERICK,Turf
LIMERICK_12.5_Turf,176.9526042883832,177.43055649623574,25,12.5,LIMERICK,Turf
LIMERICK_6.5_Turf,90.64553495317335,91.36856826836984,56,6.73,LIMERICK,Turf
LIMERICK_7.0_Turf,97.1803569127658,98.20753212658602,76,7.23,LIMERICK,Turf
LIMERICK_8.0_Turf,111.15051403686134,112.13273190133056,105,8.23,LIMERICK,Turf
LINGFIELD PARK_10.0_All Weather,134.82999999999998,134.88611318648645,793,10.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_10.0_Turf,138.54910455139665,138.54768327538451,95,10.0,LINGFIELD PARK,Turf
LINGFIELD PARK_11.5_Turf,162.39256593449312,162.54332281020137,158,11.48,LINGFIELD PARK,Turf
LINGFIELD PARK_12.0_All Weather,162.79102308596362,163.03904838667245,551,12.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_13.0_All Weather,177.33249516913824,177.3831043384695,69,13.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_14.0_Turf,198.5380921516762,199.50407228383426,21,14.0,LINGFIELD PARK,Turf
LINGFIELD PARK_16.0_All Weather,218.623,219.1026555495396,212,15.77,LINGFIELD PARK,All Weather
LINGFIELD PARK_16.5_Turf,232.43281596011315,232.61377436582865,26,16.31,LINGFIELD PARK,Turf
LINGFIELD PARK_5.0_All Weather,63.023225259539345,63.00726263304271,512,5.03,LINGFIELD PARK,All Weather
LINGFIELD PARK_5.0_Turf,62.64574896109954,62.681657422925255,122,5.0,LINGFIELD PARK,Turf
LINGFIELD PARK_6.0_All Weather,76.76572976934814,76.81489670808416,774,6.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_6.0_Turf,76.53167175696424,76.65336819404132,180,6.0,LINGFIELD PARK,Turf
LINGFIELD PARK_7.0_All Weather,90.70758810784626,90.75030361801485,851,7.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_7.0_Turf,89.9633333935876,90.0501627841317,216,7.0,LINGFIELD PARK,Turf
LINGFIELD PARK_7.5_Turf,98.31017704036272,98.26430118567771,103,7.64,LINGFIELD PARK,Turf
LINGFIELD PARK_8.0_All Weather,104.8681729892597,104.88543338530037,938,8.0,LINGFIELD PARK,All Weather
LINGFIELD PARK_9.0_Turf,123.85477236621848,123.98624334810795,40,9.0,LINGFIELD PARK,Turf
LISTOWEL_12.0_Turf,173.54785996240605,173.6833570352606,29,12.0,LISTOWEL,Turf
LISTOWEL_14.0_Turf,211.13372230085946,215.19276712046332,26,14.0,LISTOWEL,Turf
LISTOWEL_6.5_Turf,86.39172506150794,87.4451746844449,35,6.27,LISTOWEL,Turf
LISTOWEL_7.0_Turf,96.423728874269,97.24406296782111,69,7.0,LISTOWEL,Turf
LISTOWEL_8.0_Turf,110.28868422065264,111.69616679331504,94,8.0,LISTOWEL,Turf
LISTOWEL_9.0_Turf,123.32121640037593,124.79436740383224,23,9.0,LISTOWEL,Turf
MUSSELBURGH_12.5_Turf,175.82390939965364,176.20528249526646,113,12.45,MUSSELBURGH,Turf
MUSSELBURGH_14.0_Turf,197.90859303870613,197.5619190181878,53,14.0,MUSSELBURGH,Turf
MUSSELBURGH_16.0_Turf,227.49567375797713,228.6485182946685,55,16.0,MUSSELBURGH,Turf
MUSSELBURGH_5.0_Turf,64.46894301988306,64.48809044151557,382,5.0,MUSSELBURGH,Turf
MUSSELBURGH_7.0_Turf,95.50231077995002,95.59784780828939,336,7.15,MUSSELBURGH,Turf
MUSSELBURGH_8.0_Turf,108.15066545511621,108.19778781553595,132,8.01,MUSSELBURGH,Turf
MUSSELBURGH_9.0_Turf,121.89805347322744,122.04610655825651,91,8.95,MUSSELBURGH,Turf
NAAS_10.0_Turf,142.8808778182174,143.27501623850358,90,10.0,NAAS,Turf
NAAS_10.5_Turf,145.1068418615344,145.68053208000626,30,10.5,NAAS,Turf
NAAS_12.0_Turf,166.02264484170476,165.9465058996443,33,12.0,NAAS,Turf
NAAS_5.0_Turf,64.65229370226561,64.77448730688535,124,5.0,NAAS,Turf
NAAS_6.0_Turf,77.32039103249612,77.58058044509141,327,6.0,NAAS,Turf
NAAS_7.0_Turf,94.17887863968522,94.85083614735069,151,7.0,NAAS,Turf
NAAS_8.0_Turf,108.78730930431757,109.23952049620185,191,8.0,NAAS,Turf
NAVAN_10.0_Turf,138.32412128037257,139.3870151445873,162,10.0,NAVAN,Turf
NAVAN_13.0_Turf,186.11383048433385,188.71112176553228,69,13.0,NAVAN,Turf
NAVAN_14.0_Turf,201.67774677706024,202.80977095702946,55,14.0,NAVAN,Turf
NAVAN_5.0_Turf,66.11062289339301,66.43518785197219,176,5.0,NAVAN,Turf
NAVAN_5.5_Turf,76.82300419528389,77.30646130164749,107,5.75,NAVAN,Turf
NAVAN_6.0_Turf,77.47200956872337,77.61478685980705,74,5.83,NAVAN,Turf
NAVAN_8.0_Turf,111.20367590668218,112.1846120045913,112,8.0,NAVAN,Turf
NEWBURY_10.0_Turf,137.51690326954517,137.55614802078725,244,10.03,NEWBURY,Turf
NEWBURY_11.0_Turf,152.20984098930379,152.60139065901808,35,11.02,NEWBURY,Turf
NEWBURY_12.0_Turf,166.8862568322018,166.96966871392306,143,12.02,NEWBURY,Turf
NEWBURY_13.5_Turf,185.2283559385291,185.1626173083402,51,13.28,NEWBURY,Turf
NEWBURY_16.0_Turf,229.4582423161525,230.59026338508178,17,16.0,NEWBURY,Turf
NEWBURY_5.0_Turf,66.1630207085135,66.09052899050809,74,5.15,NEWBURY,Turf
NEWBURY_6.0_Turf,78.56871822639951,78.61232271936555,266,6.04,NEWBURY,Turf
