meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-18,BOR,5,2026-03-18_BOR_5,UNA REVELACION,8.0,12.924520798536546,Très souple,Turf,5,4,123.45871999999999,,13.5,164.54697241708425,1.6163577876476256,0.13678250602821418,114.26290890520774,-2.5412800000000146,111.72162890520772,0.0,111.72162890520772,86.05646150469701,86.05646150469701
2026-03-18,BOR,5,2026-03-18_BOR_5,NO BAY,9.0,12.924520798536546,Très souple,Turf,5,5,128.97027,,14.25,164.54697241708425,1.6163577876476256,0.13678250602821418,113.05064056447202,2.9702699999999993,116.02091056447202,0.0,116.02091056447202,89.11851308063265,89.11851308063265
2026-03-18,BOR,6,2026-03-18_BOR_6,TIBERIANA,1.0,9.941939075797343,Très souple,Turf,5,4,124.56102999999999,123.38,0.0,122.74086946998759,2.0889286374676295,0.13678250602821418,107.52800594296247,-1.4389700000000119,106.08903594296245,0.0,106.08903594296245,82.04479362071882,82.04479362071882
2026-03-18,BOR,6,2026-03-18_BOR_6,EASTMAN,2.0,9.941939075797343,Très souple,Turf,5,4,127.86795999999998,,0.25,122.74086946998759,2.0889286374676295,0.13678250602821418,107.00577378359556,1.8679599999999823,108.87373378359554,0.0,108.87373378359554,84.02812225261735,84.02812225261735
2026-03-18,BOR,6,2026-03-18_BOR_6,PEARL SPIRIT,3.0,9.941939075797343,Très souple,Turf,5,4,132.2772,,2.25,122.74086946998759,2.0889286374676295,0.13678250602821418,102.8279165086603,6.2771999999999935,109.10511650866029,0.0,109.10511650866029,84.19291858234885,84.19291858234885
2026-03-18,BOR,6,2026-03-18_BOR_6,MAKING WAVES,4.0,9.941939075797343,Très souple,Turf,5,4,124.56102999999999,,4.25,122.74086946998759,2.0889286374676295,0.13678250602821418,98.65005923372505,-1.4389700000000119,97.21108923372503,0.0,97.21108923372503,75.72170691307917,75.72170691307917
2026-03-18,BOR,6,2026-03-18_BOR_6,FUJI HANA,5.0,9.941939075797343,Très souple,Turf,5,4,131.17488999999998,,4.4,122.74086946998759,2.0889286374676295,0.13678250602821418,98.33671993810489,5.1748899999999765,103.51160993810487,0.0,103.51160993810487,80.20908896456419,80.20908896456419
2026-03-18,BOR,6,2026-03-18_BOR_6,RABBAH,6.0,9.941939075797343,Très souple,Turf,5,7,120.15178999999999,,4.5,122.74086946998759,2.0889286374676295,0.13678250602821418,98.12782707435814,-5.848210000000009,92.27961707435813,0.0,92.27961707435813,72.20939409106785,72.20939409106785
2026-03-18,BOR,6,2026-03-18_BOR_6,BERLINETTA,7.0,9.941939075797343,Très souple,Turf,5,4,132.2772,,4.55,122.74086946998759,2.0889286374676295,0.13678250602821418,98.02338064248475,6.2771999999999935,104.30058064248475,0.0,104.30058064248475,80.77101283468505,80.77101283468505
2026-03-18,BOR,6,2026-03-18_BOR_6,KATHALINA,8.0,9.941939075797343,Très souple,Turf,5,7,127.86795999999998,,5.55,122.74086946998759,2.0889286374676295,0.13678250602821418,95.93445200501712,1.8679599999999823,97.8024120050171,0.0,97.8024120050171,76.14286118191379,76.14286118191379
2026-03-18,BOR,6,2026-03-18_BOR_6,THE GREAT HEAVEN,9.0,9.941939075797343,Très souple,Turf,5,5,112.43561999999999,,6.3,122.74086946998759,2.0889286374676295,0.13678250602821418,94.3677555269164,-13.564380000000014,80.80337552691638,0.0,80.80337552691638,64.03573944333411,64.03573944333411
2026-03-18,BOR,6,2026-03-18_BOR_6,BORN TO DARE,10.0,9.941939075797343,Très souple,Turf,5,4,132.2772,,6.33,122.74086946998759,2.0889286374676295,0.13678250602821418,94.30508766779238,6.2771999999999935,100.58228766779237,0.0,100.58228766779237,78.1227553430148,78.1227553430148
2026-03-18,BOR,6,2026-03-18_BOR_6,BEN DE DIANE,11.0,9.941939075797343,Très souple,Turf,5,7,132.2772,,8.33,122.74086946998759,2.0889286374676295,0.13678250602821418,90.12723039285711,6.2771999999999935,96.40443039285711,0.0,96.40443039285711,75.14718512765498,75.14718512765498
2026-03-18,BOR,6,2026-03-18_BOR_6,TANFEPAS,12.0,9.941939075797343,Très souple,Turf,5,4,132.2772,,9.83,122.74086946998759,2.0889286374676295,0.13678250602821418,86.99383743665567,6.2771999999999935,93.27103743665566,0.0,93.27103743665566,72.9155074661351,72.9155074661351
2026-03-18,BOR,6,2026-03-18_BOR_6,MAKENO,13.0,9.941939075797343,Très souple,Turf,5,9,112.43561999999999,,11.33,122.74086946998759,2.0889286374676295,0.13678250602821418,83.86044448045422,-13.564380000000014,70.2960644804542,0.0,70.2960644804542,56.55218035170413,56.55218035170413
2026-03-18,BOR,7,2026-03-18_BOR_7,PESTACLE,1.0,9.941939075797343,Très souple,Turf,5,5,130.07258,122.41,0.0,122.74086946998759,2.0889286374676295,0.13678250602821418,117.65930983468046,4.072579999999988,121.73188983468044,0.0,121.73188983468044,93.1860095743306,93.1860095743306
2026-03-18,BOR,7,2026-03-18_BOR_7,DENIA,2.0,9.941939075797343,Très souple,Turf,5,8,128.97027,,0.75,122.74086946998759,2.0889286374676295,0.13678250602821418,116.09261335657973,2.9702699999999993,119.06288335657973,0.0,119.06288335657973,91.28507910729783,91.28507910729783
2026-03-18,BOR,7,2026-03-18_BOR_7,GO LOVE,3.0,9.941939075797343,Très souple,Turf,5,7,131.17488999999998,,0.9,122.74086946998759,2.0889286374676295,0.13678250602821418,115.7792740609596,5.1748899999999765,120.95416406095957,0.0,120.95416406095957,92.63209461369152,92.63209461369152
