meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-16,CHA,2,2026-03-16_CHA_2,ARBUS,2.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,3.0,97.99696852287403,2.778460843479062,0.05701560919433525,96.9498764431138,1.8679599999999823,98.81783644311378,5.0,103.81783644311378,85.75344189804292,85.75344189804292
2026-03-16,CHA,2,2026-03-16_CHA_2,DESTIVELLE,3.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,6.5,97.99696852287403,2.778460843479062,0.05701560919433525,87.22526349093708,1.8679599999999823,89.09322349093706,5.0,94.09322349093706,78.9462128315192,78.9462128315192
2026-03-16,CHA,2,2026-03-16_CHA_2,NEBULAE,4.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,7.5,97.99696852287403,2.778460843479062,0.05701560919433525,84.44680264745801,1.8679599999999823,86.314762647458,5.0,91.314762647458,77.00129024108386,77.00129024108386
2026-03-16,CHA,2,2026-03-16_CHA_2,ILI PIKA,5.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,9.0,97.99696852287403,2.778460843479062,0.05701560919433525,80.27911138223942,1.8679599999999823,82.1470713822394,5.0,87.1470713822394,74.08390635543086,74.08390635543086
2026-03-16,CHA,2,2026-03-16_CHA_2,PERFECT MOON,6.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,10.75,97.99696852287403,2.778460843479062,0.05701560919433525,75.41680490615107,1.8679599999999823,77.28476490615105,5.0,82.28476490615105,70.68029182216901,70.68029182216901
2026-03-16,CHA,2,2026-03-16_CHA_2,MAURICIA,7.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,12.25,97.99696852287403,2.778460843479062,0.05701560919433525,71.24911364093248,1.8679599999999823,73.11707364093246,5.0,78.11707364093246,67.762907936516,67.762907936516
2026-03-16,CHA,2,2026-03-16_CHA_2,CARMEN COLLECTED,8.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,12.28,97.99696852287403,2.778460843479062,0.05701560919433525,71.16575981562809,1.8679599999999823,73.03371981562807,5.0,78.03371981562807,67.70456025880293,67.70456025880293
2026-03-16,CHA,2,2026-03-16_CHA_2,ADONIDE,9.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,14.28,97.99696852287403,2.778460843479062,0.05701560919433525,65.60883812866997,1.8679599999999823,67.47679812866996,5.0,72.47679812866996,63.81471507793224,63.81471507793224
2026-03-16,CHA,2,2026-03-16_CHA_2,NUGHAYA FAL,10.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,14.43,97.99696852287403,2.778460843479062,0.05701560919433525,65.19206900214812,1.8679599999999823,67.0600290021481,5.0,72.0600290021481,63.52297668936694,63.52297668936694
2026-03-16,CHA,3,2026-03-16_CHA_3,KIMI REY,1.0,5.468066491688539,Lourd,Turf,3,122.35640999999998,68.98,0.0,62.977143661729784,3.7354114737212867,0.82,71.62876887433393,-3.6435900000000174,67.98517887433391,5.063867016622922,73.04904589095683,64.21528851153306,64.21528851153306
